Sex,School Code,Playing Years,Playing Often,Playing Hours,Playing Games,Parent Revenue,Father Education,Mother Education,Grade
1,9,4,4,3,1,0,5,5,100
1,9,2,5,1,1,0,5,4,80
1,9,4,2,2,1,0,6,5,100
1,9,0,0,0,0,0,3,3,100
0,9,0,0,0,0,0,3,4,100
1,9,1,4,1,1,0,5,5,100
0,9,0,0,0,0,0,5,5,90
0,9,1,5,1,1,0,4,4,100
0,9,0,0,0,0,0,5,5,100
0,9,2,2,1,1,0,5,4,80
0,9,1,1,1,1,0,5,5,100
1,9,4,1,2,1,0,3,3,60
1,9,1,3,1,1,0,4,4,100
0,9,2,5,1,1,0,3,3,60
0,9,0,0,0,0,0,4,4,100
0,9,0,0,0,0,0,5,4,100
0,9,3,4,1,1,0,5,5,100
0,9,0,0,0,0,0,4,4,100
1,9,3,5,3,1,0,5,5,85
1,9,3,1,2,1,0,5,5,70
1,9,1,1,4,1,0,5,5,100
0,9,0,0,0,0,0,4,4,100
1,9,2,3,2,1,0,6,6,98.5
0,9,0,0,0,0,0,4,4,100
1,9,0,0,0,0,0,5,5,100
1,9,4,1,2,1,0,5,4,100
1,9,4,5,5,1,0,5,6,100
0,10,0,0,0,0,2,4,4,80
0,10,0,0,0,0,2,4,3,84
0,10,0,0,0,0,1,4,4,95.33
0,10,4,3,1,1,2,4,2,87
0,10,1,5,1,1,4,4,2,90
0,10,1,5,1,1,1,3,4,45
0,10,0,0,0,0,2,4,2,90
0,10,4,3,1,1,1,3,4,65
0,10,0,0,0,0,2,5,2,100
0,10,1,5,1,1,3,6,5,98
0,10,0,0,0,0,1,3,1,63
0,10,1,3,1,1,2,3,3,70
0,10,0,0,0,0,2,3,4,75
0,10,0,0,0,0,4,4,5,80
0,10,0,0,0,0,3,3,3,62
0,10,0,0,0,0,3,4,2,80
0,10,0,0,0,0,2,4,4,67
1,10,2,5,2,1,4,3,3,72.5
1,10,0,0,0,0,1,2,3,46.5
1,10,3,5,3,1,1,3,4,80
1,10,3,3,3,1,3,5,5,90
1,10,3,5,5,1,3,5,4,90
1,10,4,1,2,1,3,4,2,63
1,10,3,4,1,1,3,3,3,70
1,10,3,5,2,1,1,4,3,77
1,10,3,4,3,1,2,3,4,96
1,10,1,2,3,1,2,5,4,70
1,10,2,3,1,1,2,5,5,62
1,10,4,4,3,1,1,5,2,50
1,10,4,3,2,1,3,5,5,76
0,10,0,0,0,0,1,3,3,91
1,10,2,2,2,1,2,4,2,92
